distro_dir,package,bbappend,pure,variable,added_dep,inferred_origin
meta-ros-common,boost,meta-ros-common/recipes-support/boost/boost_%.bbappend,False,DEPENDS,python3-numpy-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros1-noetic,apriltag,meta-ros1-noetic/recipes-bbappends/apriltag/apriltag_3.2.0-1.bbappend,False,DEPENDS,python3-numpy-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros1-noetic,behaviortree-cpp-v3,meta-ros1-noetic/recipes-bbappends/behaviortree-cpp-v3/behaviortree-cpp-v3_%.bbappend,False,ROS_BUILD_DEPENDS,cppzmq,build_export_depend (target-space gap)
meta-ros1-noetic,bond,meta-ros1-noetic/recipes-bbappends/bond-core/bond_1.8.7-1.bbappend,False,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,catkin,meta-ros1-noetic/recipes-bbappends/catkin/catkin_%.bbappend,False,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-catkin-pkg-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,catkin,meta-ros1-noetic/recipes-bbappends/catkin/catkin_%.bbappend,False,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-empy-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,actionlib-msgs,meta-ros1-noetic/recipes-bbappends/common-msgs/actionlib-msgs_1.13.2-1.bbappend,False,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,diagnostic-msgs,meta-ros1-noetic/recipes-bbappends/common-msgs/diagnostic-msgs_1.13.2-1.bbappend,False,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,geometry-msgs,meta-ros1-noetic/recipes-bbappends/common-msgs/geometry-msgs_1.13.2-1.bbappend,False,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,nav-msgs,meta-ros1-noetic/recipes-bbappends/common-msgs/nav-msgs_1.13.2-1.bbappend,False,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
