distro_dir,package,bbappend,pure,variable,added_dep,inferred_origin
meta-ros1-noetic,dual-quaternions-ros,meta-ros1-noetic/recipes-bbappends/dual-quaternions-ros/dual-quaternions-ros_0.1.4-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,dual-quaternions,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,fiducial-slam,meta-ros1-noetic/recipes-bbappends/fiducials/fiducial-slam_0.12.0-1.bbappend,True,DEPENDS,std-srvs,build_export_depend (target-space gap)
meta-ros1-noetic,fkie-multimaster-msgs,meta-ros1-noetic/recipes-bbappends/fkie-multimaster/fkie-multimaster-msgs_1.3.2-2.bbappend,True,DEPENDS,python3-grpcio-tools-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros1-noetic,geographic-msgs,meta-ros1-noetic/recipes-bbappends/geographic-info/geographic-msgs_0.5.6-1.bbappend,True,ROS_BUILD_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros1-noetic,tf2-msgs,meta-ros1-noetic/recipes-bbappends/geometry2/tf2-msgs_0.7.10-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,hector-mapping,meta-ros1-noetic/recipes-bbappends/hector-slam/hector-mapping_0.5.2-4.bbappend,True,DEPENDS,std-srvs,build_export_depend (target-space gap)
meta-ros1-noetic,lgsvl-msgs,meta-ros1-noetic/recipes-bbappends/lgsvl-msgs/lgsvl-msgs_0.0.4-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-catkin-pkg-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,lgsvl-msgs,meta-ros1-noetic/recipes-bbappends/lgsvl-msgs/lgsvl-msgs_0.0.4-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-empy-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,mqtt-bridge,meta-ros1-noetic/recipes-bbappends/mqtt-bridge/mqtt-bridge_0.2.1-1.bbappend,True,DEPENDS,python3-pip-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros1-noetic,map-msgs,meta-ros1-noetic/recipes-bbappends/navigation-msgs/map-msgs_1.14.2-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,move-base-msgs,meta-ros1-noetic/recipes-bbappends/navigation-msgs/move-base-msgs_1.14.2-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,pass-through-controllers,meta-ros1-noetic/recipes-bbappends/pass-through-controllers/pass-through-controllers_0.1.0-1.bbappend,True,DEPENDS,control-msgs,build_export_depend (target-space gap)
meta-ros1-noetic,pcl-msgs,meta-ros1-noetic/recipes-bbappends/pcl-msgs/pcl-msgs_0.3.0-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,twist-controller,meta-ros1-noetic/recipes-bbappends/ros-controllers-cartesian/twist-controller_0.1.7-1.bbappend,True,DEPENDS,pluginlib,build_export_depend (target-space gap)
meta-ros1-noetic,rosserial-msgs,meta-ros1-noetic/recipes-bbappends/rosserial/rosserial-msgs_0.9.2-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,gmapping,meta-ros1-noetic/recipes-bbappends/slam-gmapping/gmapping_1.4.2-1.bbappend,True,DEPENDS,rosbag-storage,build_export_depend (target-space gap)
meta-ros1-noetic,turtlebot3-msgs,meta-ros1-noetic/recipes-bbappends/turtlebot3-msgs/turtlebot3-msgs_1.0.1-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (direct-native gap)
meta-ros1-noetic,udp-com,meta-ros1-noetic/recipes-bbappends/udp-com/udp-com_1.1.2-1.bbappend,True,DEPENDS,roslint,build_export_depend (target-space gap)
meta-ros1-noetic,uuid-msgs,meta-ros1-noetic/recipes-bbappends/unique-identifier/uuid-msgs_1.0.6-1.bbappend,True,ROS_BUILD_DEPENDS,${PYTHON_PN}-pyyaml-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,rosidl-default-runtime,build_export_depend (target-space gap)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,rosidl-adapter-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,ament-cmake-ros-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,python3-numpy-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,rosidl-generator-c-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,rosidl-generator-cpp-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,rosidl-typesupport-fastrtps-c-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,rosidl-typesupport-fastrtps-cpp-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,rosidl-typesupport-introspection-cpp-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,rosidl-typesupport-cpp-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,ackermann-msgs,meta-ros2-humble/recipes-bbappends/ackermann-msgs/ackermann-msgs_2.0.2-3.bbappend,True,ROS_BUILD_DEPENDS,rosidl-generator-py-native,buildtool_export_depend (native tool reached via target recipe)
meta-ros2-humble,as2-core,meta-ros2-humble/recipes-bbappends/aerostack2/as2-core_1.1.3-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,rosidl-default-generators-native,buildtool_export_depend (direct-native gap)
meta-ros2-humble,as2-motion-controller,meta-ros2-humble/recipes-bbappends/aerostack2/as2-motion-controller_1.1.3-1.bbappend,True,ROS_BUILD_DEPENDS,pid-controller,build_export_depend (target-space gap)
meta-ros2-humble,as2-motion-controller,meta-ros2-humble/recipes-bbappends/aerostack2/as2-motion-controller_1.1.3-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,ament-cmake-ros-native,buildtool_export_depend (direct-native gap)
meta-ros2-humble,as2-msgs,meta-ros2-humble/recipes-bbappends/aerostack2/as2-msgs_1.1.3-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,rosidl-default-generators-native,buildtool_export_depend (direct-native gap)
meta-ros2-humble,as2-platform-dji-osdk,meta-ros2-humble/recipes-bbappends/aerostack2/as2-platform-dji-osdk_1.1.0-1.bbappend,True,ROS_BUILDTOOL_DEPENDS,rosidl-default-generators-native,buildtool_export_depend (direct-native gap)
meta-ros2-humble,ament-vitis,meta-ros2-humble/recipes-bbappends/ament-vitis/ament-vitis_0.10.1-2.bbappend,True,ROS_BUILD_DEPENDS,ament-cmake-libraries,build_export_depend (target-space gap)
meta-ros2-humble,ament-vitis,meta-ros2-humble/recipes-bbappends/ament-vitis/ament-vitis_0.10.1-2.bbappend,True,ROS_BUILDTOOL_DEPENDS,ament-cmake-gmock-native,buildtool_export_depend (direct-native gap)
meta-ros2-humble,ament-vitis,meta-ros2-humble/recipes-bbappends/ament-vitis/ament-vitis_0.10.1-2.bbappend,True,ROS_BUILDTOOL_DEPENDS,ament-cmake-gtest-native,buildtool_export_depend (direct-native gap)
meta-ros2-humble,ament-vitis,meta-ros2-humble/recipes-bbappends/ament-vitis/ament-vitis_0.10.1-2.bbappend,True,ROS_BUILDTOOL_DEPENDS,ament-cmake-native,buildtool_export_depend (direct-native gap)
meta-ros2-humble,ament-vitis,meta-ros2-humble/recipes-bbappends/ament-vitis/ament-vitis_0.10.1-2.bbappend,True,ROS_BUILDTOOL_DEPENDS,ament-cmake-pytest-native,buildtool_export_depend (direct-native gap)
meta-ros2-humble,ament-vitis,meta-ros2-humble/recipes-bbappends/ament-vitis/ament-vitis_0.10.1-2.bbappend,True,ROS_BUILDTOOL_DEPENDS,ament-cmake-test-native,buildtool_export_depend (direct-native gap)
